case_id,account_id,customer_id,cluster_id,status,assigned_investigator,region,opened_at,sla_due_at,final_disposition
CASE0001,NA0021,CN0021,,CLOSED_CONFIRMED,north_team_2,NORTH,2026-06-14T08:00:00Z,2026-06-19T08:00:00Z,CONFIRMED
CASE0002,SA0020,CS0020,,CLOSED_CLEARED,south_team_3,SOUTH,2026-07-20T05:00:00Z,2026-07-25T05:00:00Z,CLEARED
CASE0003,EA0034,CE0034,,CLOSED_CLEARED,east_team_1,EAST,2026-07-30T00:00:00Z,2026-08-04T00:00:00Z,CLEARED
CASE0004,WA0047,CW0047,,CLOSED_CLEARED,west_team_2,WEST,2026-07-25T18:00:00Z,2026-07-30T18:00:00Z,CLEARED
CASE0005,NA0006,CN0006,,CLOSED_CONFIRMED,north_team_3,NORTH,2026-07-26T06:00:00Z,2026-07-31T06:00:00Z,CONFIRMED
CASE0006,SA0023,CS0023,,CLOSED_CONFIRMED,south_team_1,SOUTH,2026-07-30T20:00:00Z,2026-08-04T20:00:00Z,CONFIRMED
CASE0007,EA0050,CE0050,,CLOSED_CLEARED,east_team_2,EAST,2026-06-19T05:00:00Z,2026-06-24T05:00:00Z,CLEARED
CASE0008,WA0041,CW0041,,CLOSED_CLEARED,west_team_3,WEST,2026-07-03T23:00:00Z,2026-07-08T23:00:00Z,CLEARED
CASE0009,NA0029,CN0029,,CLOSED_CLEARED,north_team_1,NORTH,2026-07-05T01:00:00Z,2026-07-10T01:00:00Z,CLEARED
CASE0010,SA0009,CS0009,,CLOSED_CONFIRMED,south_team_2,SOUTH,2026-08-16T17:00:00Z,2026-08-21T17:00:00Z,CONFIRMED
CASE0011,EA0048,CE0048,,CLOSED_CONFIRMED,east_team_3,EAST,2026-07-03T11:00:00Z,2026-07-08T11:00:00Z,CONFIRMED
CASE0012,WA0079,CW0079,,CLOSED_CLEARED,west_team_1,WEST,2026-06-20T06:00:00Z,2026-06-25T06:00:00Z,CLEARED
CASE0013,NA0073,CN0073,,CLOSED_CLEARED,north_team_2,NORTH,2026-06-22T02:00:00Z,2026-06-27T02:00:00Z,CLEARED
CASE0014,SA0002,CS0002,,CLOSED_CLEARED,south_team_3,SOUTH,2026-08-16T07:00:00Z,2026-08-21T07:00:00Z,CLEARED
CASE0015,EA0025,CE0025,,CLOSED_CONFIRMED,east_team_1,EAST,2026-06-25T10:00:00Z,2026-06-30T10:00:00Z,CONFIRMED
CASE0016,WA0020,CW0020,,CLOSED_CONFIRMED,west_team_2,WEST,2026-08-12T02:00:00Z,2026-08-17T02:00:00Z,CONFIRMED
CASE0017,NA0052,CN0052,,CLOSED_CLEARED,north_team_3,NORTH,2026-06-13T23:00:00Z,2026-06-18T23:00:00Z,CLEARED
CASE0018,SA0009,CS0009,,CLOSED_CLEARED,south_team_1,SOUTH,2026-07-01T09:00:00Z,2026-07-06T09:00:00Z,CLEARED
CASE0019,EA0013,CE0013,,CLOSED_CLEARED,east_team_2,EAST,2026-08-02T09:00:00Z,2026-08-07T09:00:00Z,CLEARED
CASE0020,WA0071,CW0071,,CLOSED_CONFIRMED,west_team_3,WEST,2026-07-25T07:00:00Z,2026-07-30T07:00:00Z,CONFIRMED
