customer_id,account_id,business_type,risk_tier,expected_monthly_turnover_inr,account_open_date,phone_hash,address_hash,kyc_updated_at
CN0001,NA0001,PROFESSIONAL,LOW,15666865,2026-02-16,ph_north_0001,ad_north_0001,2026-08-11T19:00:00Z
CN0002,NA0002,RETAIL,HIGH,14058805,2024-03-17,ph_north_0002,ad_north_0002,2026-08-10T16:00:00Z
CN0003,NA0003,RETAIL,LOW,7618167,2025-11-01,ph_north_0003,ad_north_0003,2026-08-08T22:00:00Z
CN0004,NA0004,WHOLESALE,MEDIUM,8816334,2025-01-07,ph_north_0004,ad_north_0004,2026-08-17T15:00:00Z
CN0005,NA0005,WHOLESALE,LOW,15155914,2025-07-19,ph_north_0005,ad_north_0005,2026-08-12T14:00:00Z
CN0006,NA0006,PROFESSIONAL,LOW,17516517,2025-01-13,ph_north_0006,ad_north_0006,2026-08-09T08:00:00Z
CN0007,NA0007,PROFESSIONAL,LOW,9200896,2024-11-16,ph_north_0007,ad_north_0007,2026-08-19T21:00:00Z
CN0008,NA0008,RETAIL,MEDIUM,13788575,2025-04-11,ph_north_0008,ad_north_0008,2026-08-08T10:00:00Z
CN0009,NA0009,RETAIL,LOW,9247670,2023-12-21,ph_north_0009,ad_north_0009,2026-08-18T02:00:00Z
CN0010,NA0010,RETAIL,LOW,5244004,2024-09-03,ph_north_0010,ad_north_0010,2026-08-12T03:00:00Z
CN0011,NA0011,RETAIL,MEDIUM,13054374,2026-02-04,ph_north_0011,ad_north_0011,2026-08-16T13:00:00Z
CN0012,NA0012,PROFESSIONAL,MEDIUM,7893393,2023-08-30,ph_north_0012,ad_north_0012,2026-08-16T21:00:00Z
CN0013,NA0013,WHOLESALE,LOW,4798485,2023-12-11,ph_north_0013,ad_north_0013,2026-08-20T08:00:00Z
CN0014,NA0014,PROFESSIONAL,MEDIUM,13135228,2025-07-19,ph_north_0014,ad_north_0014,2026-08-10T18:00:00Z
CN0015,NA0015,RETAIL,LOW,3806650,2025-08-23,ph_north_0015,ad_north_0015,2026-08-19T00:00:00Z
CN0016,NA0016,WHOLESALE,LOW,10826395,2026-02-24,ph_north_0016,ad_north_0016,2026-08-10T23:00:00Z
