transaction_id,timestamp,account_id,amount_inr,branch_id,region,channel,transaction_type,beneficiary_hash
TX0000001,2026-05-23T08:34:00Z,NA0047,171618.55,N02,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000002,2026-05-23T06:35:00Z,NA0075,48227.33,N02,NORTH,BRANCH_CASH,TRANSFER,ben_north_0339
TX0000003,2026-05-23T08:49:00Z,NA0046,92428.87,N02,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000004,2026-05-23T08:16:00Z,NA0078,111732.03,N03,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000005,2026-05-23T17:33:00Z,NA0058,114831.03,N04,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000006,2026-05-23T06:17:00Z,NA0043,270274.73,N01,NORTH,ONLINE,TRANSFER,ben_north_0234
TX0000007,2026-05-23T01:40:00Z,NA0080,217723.42,N04,NORTH,BRANCH_CASH,TRANSFER,ben_north_0203
TX0000008,2026-05-23T00:36:00Z,NA0079,216140.63,N01,NORTH,ONLINE,CASH_DEPOSIT,
TX0000009,2026-05-23T05:04:00Z,NA0003,33826.51,N02,NORTH,ONLINE,TRANSFER,ben_north_0158
TX0000010,2026-05-23T22:44:00Z,NA0001,159831.87,N02,NORTH,BRANCH_CASH,TRANSFER,ben_north_0297
TX0000011,2026-05-23T03:52:00Z,NA0046,119638.88,N02,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000012,2026-05-23T12:34:00Z,NA0018,97158.1,N04,NORTH,ONLINE,TRANSFER,ben_north_0066
TX0000013,2026-05-23T13:52:00Z,NA0075,22336.76,N02,NORTH,BRANCH_CASH,TRANSFER,ben_north_0284
TX0000014,2026-05-23T11:20:00Z,NA0041,74816.48,N04,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000015,2026-05-23T20:19:00Z,NA0034,64834.9,N04,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000016,2026-05-23T19:20:00Z,NA0018,681639.47,N01,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000017,2026-05-23T13:32:00Z,NA0002,411894.52,N01,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000018,2026-05-23T15:32:00Z,NA0051,194549.25,N03,NORTH,ATM,CASH_DEPOSIT,
TX0000019,2026-05-23T13:25:00Z,NA0037,147772.43,N01,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000020,2026-05-23T08:14:00Z,NA0040,200922.48,N01,NORTH,ONLINE,CASH_DEPOSIT,
TX0000021,2026-05-23T22:47:00Z,NA0065,271889.94,N04,NORTH,BRANCH_CASH,TRANSFER,ben_north_0309
TX0000022,2026-05-23T05:06:00Z,NA0051,229214.38,N03,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000023,2026-05-23T22:51:00Z,NA0030,91933.19,N03,NORTH,BRANCH_CASH,TRANSFER,ben_north_0106
TX0000024,2026-05-23T20:49:00Z,NA0042,59416.77,N04,NORTH,ONLINE,CASH_DEPOSIT,
TX0000025,2026-05-23T16:44:00Z,NA0010,234126.91,N03,NORTH,ONLINE,CASH_DEPOSIT,
TX0000026,2026-05-23T21:06:00Z,NA0006,121213.76,N04,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000027,2026-05-23T12:03:00Z,NA0006,121036.15,N02,NORTH,BRANCH_CASH,TRANSFER,ben_north_0070
TX0000028,2026-05-23T12:40:00Z,NA0078,344028.78,N04,NORTH,ONLINE,CASH_DEPOSIT,
TX0000029,2026-05-23T22:27:00Z,NA0011,159699.31,N04,NORTH,ONLINE,TRANSFER,ben_north_0278
TX0000030,2026-05-23T12:46:00Z,NA0025,513711.39,N02,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000031,2026-05-23T06:47:00Z,NA0057,143139.1,N02,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000032,2026-05-23T09:18:00Z,NA0016,211587.25,N03,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000033,2026-05-23T07:35:00Z,NA0036,106596.39,N01,NORTH,ATM,TRANSFER,ben_north_0301
TX0000034,2026-05-23T15:26:00Z,NA0017,141160.12,N04,NORTH,BRANCH_CASH,TRANSFER,ben_north_0305
TX0000035,2026-05-23T21:29:00Z,NA0079,138805.06,N01,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000036,2026-05-23T04:53:00Z,NA0012,270590.95,N03,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000037,2026-05-23T15:10:00Z,NA0051,926519.93,N04,NORTH,ONLINE,CASH_DEPOSIT,
TX0000038,2026-05-23T21:50:00Z,NA0050,926188.83,N02,NORTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000039,2026-05-23T03:16:00Z,NA0036,137387.9,N03,NORTH,BRANCH_CASH,TRANSFER,ben_north_0148
TX0000040,2026-05-23T04:08:00Z,NA0015,79943.38,N02,NORTH,ONLINE,CASH_DEPOSIT,
TX0000041,2026-05-23T05:38:00Z,NA0065,131751.92,N04,NORTH,BRANCH_CASH,TRANSFER,ben_north_0066
TX0000042,2026-05-23T02:54:00Z,NA0066,152498.49,N04,NORTH,ATM,CASH_WITHDRAWAL,
TX0000043,2026-05-23T21:14:00Z,NA0035,390137.96,N02,NORTH,ATM,TRANSFER,ben_north_0340
TX0000044,2026-05-23T14:15:00Z,NA0006,145460.29,N01,NORTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000045,2026-05-23T22:34:00Z,NA0048,102466.2,N03,NORTH,ONLINE,CASH_WITHDRAWAL,
TX0000046,2026-05-23T20:49:00Z,NA0005,119576.26,N02,NORTH,ONLINE,TRANSFER,ben_north_0160
TX0000047,2026-05-23T10:17:00Z,SA0052,655103.39,S03,SOUTH,ONLINE,TRANSFER,ben_south_0272
TX0000048,2026-05-23T14:39:00Z,SA0054,232948.03,S04,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0129
TX0000049,2026-05-23T13:57:00Z,SA0041,53467.73,S03,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0123
TX0000050,2026-05-23T05:33:00Z,SA0011,27913.8,S04,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000051,2026-05-23T06:37:00Z,SA0059,120002.93,S02,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000052,2026-05-23T16:52:00Z,SA0016,177970.99,S04,SOUTH,ATM,CASH_DEPOSIT,
TX0000053,2026-05-23T16:26:00Z,SA0014,55773.7,S04,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000054,2026-05-23T16:24:00Z,SA0012,159900.25,S03,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000055,2026-05-23T16:21:00Z,SA0067,209354.03,S03,SOUTH,ATM,CASH_DEPOSIT,
TX0000056,2026-05-23T06:43:00Z,SA0060,104640.92,S01,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0119
TX0000057,2026-05-23T16:40:00Z,SA0029,240145.72,S01,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000058,2026-05-23T17:24:00Z,SA0073,171608.72,S01,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000059,2026-05-23T12:38:00Z,SA0036,43817.36,S04,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000060,2026-05-23T21:25:00Z,SA0005,35992.51,S03,SOUTH,ONLINE,CASH_WITHDRAWAL,
TX0000061,2026-05-23T11:50:00Z,SA0080,140513.72,S04,SOUTH,ONLINE,TRANSFER,ben_south_0126
TX0000062,2026-05-23T11:02:00Z,SA0037,30789.81,S02,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000063,2026-05-23T09:39:00Z,SA0040,65606.76,S04,SOUTH,ATM,CASH_WITHDRAWAL,
TX0000064,2026-05-23T17:50:00Z,SA0009,43646.08,S04,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000065,2026-05-23T20:08:00Z,SA0054,195795.34,S03,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0094
TX0000066,2026-05-23T14:08:00Z,SA0066,86983.41,S03,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0104
TX0000067,2026-05-23T04:19:00Z,SA0018,103389.36,S04,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000068,2026-05-23T17:08:00Z,SA0033,92197.09,S01,SOUTH,ONLINE,TRANSFER,ben_south_0079
TX0000069,2026-05-23T07:14:00Z,SA0065,181523.6,S03,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000070,2026-05-23T18:49:00Z,SA0080,65676.1,S03,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000071,2026-05-23T17:57:00Z,SA0022,165976.32,S04,SOUTH,BRANCH_CASH,CASH_WITHDRAWAL,
TX0000072,2026-05-23T17:51:00Z,SA0049,60799.47,S03,SOUTH,ONLINE,CASH_DEPOSIT,
TX0000073,2026-05-23T05:11:00Z,SA0001,213131.95,S01,SOUTH,ONLINE,CASH_WITHDRAWAL,
TX0000074,2026-05-23T12:10:00Z,SA0072,148285.44,S02,SOUTH,BRANCH_CASH,TRANSFER,ben_south_0261
TX0000075,2026-05-23T08:51:00Z,SA0013,114083.77,S02,SOUTH,BRANCH_CASH,CASH_DEPOSIT,
TX0000076,2026-05-23T03:31:00Z,SA0039,92127.59,S04,SOUTH,ONLINE,TRANSFER,ben_south_0058
